,index,Rate,Votes
0,Drama,8.35418994413408,609953.4636871509
1,History,8.319999999999999,515885.7
2,Sci-Fi,8.364999999999998,1111939.5
3,Romance,8.33181818181818,434784.86363636365
4,Western,8.4,603132.0
5,Mystery,8.326470588235296,527995.0882352941
6,Adventure,8.349090909090911,870760.4
7,Fantasy,8.33076923076923,824769.3076923077
8,Thriller,8.293939393939393,645200.9696969697
9,War,8.314285714285713,459585.61904761905
10,Family,8.272727272727272,455348.0909090909
11,Music,8.399999999999999,633318.25
12,Horror,8.316666666666666,611965.1666666666
13,Film-Noir,8.350000000000001,198319.5
14,Comedy,8.269230769230774,567381.5128205129
15,Crime,8.359016393442626,704684.524590164
16,Sport,8.14,325610.4
17,Musical,8.233333333333333,145053.66666666666
18,nan,,
19,Action,8.352307692307692,743905.8307692307
20,Biography,8.290322580645162,523445.32258064515
21,Animation,8.315,686448.3
